lexeme,sub_trait,subtrait_id
ngasih,o_actions,48
buka_dompet,o_actions,48
ketemunya,o_actions,48
ngasih_kesempatan,o_actions,48
dateng,o_actions,48
diem2,o_actions,48
mengakhiri,o_actions,48
bales,o_actions,48
tiba,o_actions,48
wacana,o_actions,48
nawarin,o_actions,48
ngubah,o_actions,48
rewel,o_actions,48
ditendang,o_actions,48
pensiun_dini,o_actions,48
ambil,o_actions,48
kelar,o_actions,48
balapan,o_actions,48
simpen,o_actions,48
mewujudkan,o_actions,48
nahan,o_actions,48
masuk_rumah,o_actions,48
ngeliatin,o_actions,48
mengelus,o_actions,48
menahan,o_actions,48
mengangguk,o_actions,48
kutunggu,o_actions,48
suka,o_actions,48
setampan,o_actions,48
jajan,o_actions,48
tanpa_teriak_teriak,o_actions,48
teriak_teriak,o_actions,48
jangan_ngamuk_ngamuk,o_actions,48
ributkan,o_actions,48
hadapi_ujian,o_actions,48
berikhtiar,o_actions,48
meyakinkan,o_actions,48
lebih_cepat,o_actions,48
dipraktekan,o_actions,48
remuk,o_actions,48
babak_belur,o_actions,48
kekuasaan,o_actions,48
dijelaskan,o_actions,48
pencipta,o_actions,48
interpretasi,o_actions,48
berlaga,o_actions,48
perjuangan,o_actions,48
kerja_kerja,o_actions,48
kerjakan,o_actions,48
berlomba,o_actions,48
mengutip,o_actions,48
datengin,o_actions,48
diakhiri,o_actions,48
melemah,o_actions,48
coba_kasih,o_actions,48
kekecauan,o_actions,48
nganggur,o_actions,48
dapat_ujian,o_actions,48
butuh_bantuan,o_actions,48
eksekusi,o_actions,48
terdepan,o_actions,48
mempercepat,o_actions,48
abaikan,o_actions,48
perbaiki,o_actions,48
apa_rasanya,o_actions,48
apalah_arti,o_actions,48
ayok,o_actions,48
bantuin,o_actions,48
berat,o_actions,48
ditengok,o_actions,48
diusahakan,o_actions,48
gimana_dong,o_actions,48
gimana_ya,o_actions,48
gue_dukung,o_actions,48
gue_tanya_dong,o_actions,48
heh_ngapain_lu,o_actions,48
hobi,o_actions,48
insiatif,o_actions,48
irit,o_actions,48
jadi_nih,o_actions,48
jarang,o_actions,48
kabur,o_actions,48
kalo_ini,o_actions,48
kalo_ini_mah,o_actions,48
kalo_menurutmu,o_actions,48
ku_coba,o_actions,48
latihan_nari,o_actions,48
latihan_teater,o_actions,48
latihan_untuk,o_actions,48
layak_didukung,o_actions,48
maaf_gimana,o_actions,48
mencerdaskan,o_actions,48
menghapus_stigma,o_actions,48
menyesuaikan_dengan,o_actions,48
nabung,o_actions,48
nih_baca,o_actions,48
saya_mah_ngikuut,o_actions,48
ya_kl_menurutmu,o_actions,48
yok,o_actions,48
yokkkk,o_actions,48
yokkkkk,o_actions,48
aku_koleksi,o_actions,48
menghubungi,o_actions,48
kubeli,o_actions,48
ketarik,o_actions,48
dibawa,o_actions,48
mengering,o_actions,48
cari_pertolongan,o_actions,48
balikan,o_actions,48
aku_promoin,o_actions,48
di_tendang,o_actions,48
liat_gerakan_bibir,o_actions,48
tepuk_pundak,o_actions,48
copas,o_actions,48
nyampe,o_actions,48
ngabisin,o_actions,48
diolesin,o_actions,48
nutupin_daerah_gelap,o_actions,48
memperjelas,o_actions,48
membalas,o_actions,48
minjem,o_actions,48
intip,o_actions,48
ngambil_barang,o_actions,48
pamer_kekayaan,o_actions,48
talangin,o_actions,48
tawarin,o_actions,48
ngelove,o_actions,48
sambat,o_actions,48
cepet2an,o_actions,48
bawa_obor,o_actions,48
dibawa_makan,o_actions,48
liat_tanggapan2,o_actions,48
nyorakin,o_actions,48
ladenin,o_actions,48
masuk_tipii,o_actions,48
melihatnya,o_actions,48
membuka_kaca_helm,o_actions,48
tindakan,o_actions,48
kontak,o_actions,48
cari_jalan,o_actions,48
banyak_gaya,o_actions,48
ramal,o_actions,48
takbir,o_actions,48
pose,o_actions,48
cabs,o_actions,48
menikahi,o_actions,48
berlomba2,o_actions,48
mendengar,o_actions,48
gentayangan,o_actions,48
mendirikan_lembaga,o_actions,48
menyatukan,o_actions,48
berteriak,o_actions,48
rapi2,o_actions,48
penghinaan,o_actions,48
tidak_lagi,e_activity,27
tidak_sedang,e_activity,27
mudik,e_activity,27
nulis_buku,e_activity,27
mencatat_buku,e_activity,27
menulis_buku,e_activity,27
kampanye,e_activity,27
kembali,e_activity,27
lagi_dagang,e_activity,27
pulang,e_activity,27
menyaksikan,e_activity,27
sambil_riset,e_activity,27
mau_terlibat,e_activity,27
ingin_terlibat,e_activity,27
masuk-masuk,e_activity,27
masuk,e_activity,27
masuk_sini,e_activity,27
masuk_uy,e_activity,27
saya_nantikan,e_activity,27
menanti_kamu,e_activity,27
menanti,e_activity,27
dari_rumah_ke_rumah,e_activity,27
kesibukan,e_activity,27
sibuk,e_activity,27
bayar,e_activity,27
liat,e_activity,27
liat_itu,e_activity,27
jelaskan,e_activity,27
perpanjangan,e_activity,27
melanjutkan,e_activity,27
menonton,e_activity,27
diskusi,e_activity,27
biasanya,e_activity,27
kebiasaan,e_activity,27
terus_bergerak,e_activity,27
ketemu,e_activity,27
belum_bobo,e_activity,27
blom_tidur,e_activity,27
belum_tidur,e_activity,27
pasang,e_activity,27
bekeliling,e_activity,27
mampir,e_activity,27
berkungjung,e_activity,27
mengunjungi,e_activity,27
produksi,e_activity,27
nunggu,e_activity,27
bikin_video,e_activity,27
beli,e_activity,27
bersih_bersih,e_activity,27
malam_mingguan,e_activity,27
mendiskusikan,e_activity,27
kerja,e_activity,27
baca,e_activity,27
sembari,e_activity,27
selagi,e_activity,27
nyanyi_nyanyi,e_activity,27
ngisi,e_activity,27
mengisi,e_activity,27
ngomong,e_activity,27
saya_tunggu,e_activity,27
dialog,e_activity,27
kerja_bareng_bareng,e_activity,27
kerja_sama,e_activity,27
diucapkan,e_activity,27
disampaikan,e_activity,27
lagi_baca,e_activity,27
sedang_membaca,e_activity,27
minta_tolong,e_activity,27
minta_bantuan,e_activity,27
jawab,e_activity,27
obrolan,e_activity,27
percakapan,e_activity,27
istirahat,e_activity,27
gue_prinin,e_activity,27
ngopi_ngopi,e_activity,27
nyari,e_activity,27
membaca,e_activity,27
kenalan,e_activity,27
berkunjung,e_activity,27
rapat,e_activity,27
sosialisasi,e_activity,27
riset,e_activity,27
saya_catat,e_activity,27
main_bola,e_activity,27
mendekat,e_activity,27
merapat,e_activity,27
racuni,e_activity,27
denger,e_activity,27
mengisi_ceramah,e_activity,27
belanja,e_activity,27
menyanyikan,e_activity,27
membahas,e_activity,27
bertukar_pikiran,e_activity,27
kontribusi_turun,e_activity,27
pernyataan,e_activity,27
suka_suka,e_activity,27
bebas,e_activity,27
main,e_activity,27
penghitungan,e_activity,27
dipake,e_activity,27
pakai,e_activity,27
mendadak,e_activity,27
pertemuan,e_activity,27
datangi,e_activity,27
tunggu,e_activity,27
berjalan,e_activity,27
bahas,e_activity,27
memasukan,e_activity,27
langkahi,e_activity,27
dibuat,e_activity,27
dibikin,e_activity,27
berpikir,e_activity,27
menyampaikan,e_activity,27
hadir,e_activity,27
bicara,e_activity,27
jualan,e_activity,27
lapor,e_activity,27
menyamakan,e_activity,27
bikin,e_activity,27
ngaji,e_activity,27
pake,e_activity,27
presentasi,e_activity,27
buka,e_activity,27
memandang,e_activity,27
perjalanan,e_activity,27
ngupi2,e_activity,27
survey,e_activity,27
pernikahan,e_activity,27
makan,e_activity,27
magang,e_activity,27
dijumlahin,e_activity,27
lari,e_activity,27
rekam,e_activity,27
kajian,e_activity,27
mengetuk,e_activity,27
melihat,e_activity,27
datangmya,e_activity,27
hidup,e_activity,27
ngomongin,e_activity,27
membicarakan,e_activity,27
nonton,e_activity,27
ceramah,e_activity,27
berlangsung,e_activity,27
omongin,e_activity,27
melewati,e_activity,27
memposting,e_activity,27
menunggu,e_activity,27
cari_cari,e_activity,27
kehidupan,e_activity,27
pekerjaan,e_activity,27
berantakan,e_activity,27
ngeles,e_activity,27
mengalihkan,e_activity,27
aktivitas,e_activity,27
macet,e_activity,27
akan_ikut,e_activity,27
main_main,e_activity,27
ngupil,e_activity,27
ngebolang,e_activity,27
berpetualang,e_activity,27
memakai,e_activity,27
make,e_activity,27
mencetak,e_activity,27
ngamen,e_activity,27
koleksi,e_activity,27
buka_hape,e_activity,27
ngepoin,e_activity,27
tidur,e_activity,27
mbengkel,e_activity,27
beraktivitas,e_activity,27
ditaruh,e_activity,27
nginep,e_activity,27
taruh,e_activity,27
ngerokok,e_activity,27
nyari_makan,e_activity,27
nyolong,e_activity,27
